Latitude,Longitude,Crop Type,City Name,Temperature,Humidity,Wind Speed,Weather Description,2023 IN MM,2022 IN MM,Profitability 2022,Profitability 2023,Soil Acidity Level,Farmer id,Credit_Score,Farmer_ID,Predicted_Credit_Score
19.07609,139.691711,Cotton,Agra,15,55,9,Clear,532,551,1,5,3,1,752.3595506,1,726.00323
19.07609,37.617298,Passion Fruit,Ahmedabad,1,32,12,Clear,729,705,5,1,5,2,454.0190147,2,454.0673
19.07609,-74.005974,Oats,Aizawl,17,22,27,Sunny,928,799,1,1,3,3,525.1203852,3,524.95
19.07609,-118.243683,Beetroot,Ajmer,18,54,7,Sunny,868,916,1,1,1,4,531.741573,4,531.3971
19.07609,13.404954,Ashwagandha,Aligarh,10,43,22,Clear,723,908,5,1,3,5,377.381534,5,377.3546
19.07609,2.352222,Cotton,Allahabad (Prayagraj),12,100,12,Light Rain,686,996,1,1,3,6,379.8617113,6,379.9049
19.07609,-0.127758,Cucumber,Amaravati,13,82,8,Clear,728,579,1,1,5,7,456.5543071,7,457.05792
19.07609,-122.419418,Cotton,Ambala,14,77,11,Partly cloudy,717,586,5,1,1,8,380.3370787,8,380.01434
19.07609,72.877426,Bitter Gourd,Amritsar,27,74,8,Haze,1066,1178,5,1,5,9,456.5543071,9,456.5812
19.07609,70.800705,Mushrooms,Aurangabad,27,30,9,Clear ,719,528,1,5,3,10,678.2022472,10,678.3818
22.308155,37.617298,Papaya,Bangalore (Bengaluru),1,32,12,Clear,894,973,1,5,1,11,676.4909248,11,676.71326
22.308155,13.404954,Bitter Gourd,Bareilly,10,43,22,Clear,668,754,1,1,3,12,377.381534,12,377.3546
22.308155,-118.243683,Drumstick,Belgaum (Belagavi),18,54,7,Sunny,1417,1357,1,1,5,13,605.8988764,13,589.62225
22.308155,2.352222,Cotton,Bhagalpur,12,100,12,Light Rain,896,734,1,1,1,14,379.8617113,14,379.88904
22.308155,-0.127758,Cucumber,Bharatpur,13,82,8,Clear,1690,1168,5,5,3,15,679.0262172,15,678.97784
22.308155,-122.419418,Millets,Bhatinda,14,77,11,Partly cloudy,764,839,1,1,1,16,380.3370787,16,380.01434
22.308155,139.691711,Coriander (Dhaniya),Bhilai,15,55,6,Clear,883,849,1,1,1,17,458.9085072,17,458.89178
22.308155,72.877426,Kiwi,Bhiwandi,27,74,8,Haze,701,836,5,5,5,18,753.1835206,18,753.2161
22.308155,-0.127758,Linseed,Bhopal,13,82,7,Clear,962,826,1,5,3,19,680.0561798,19,679.70544
22.308155,70.800705,Oats,Bhubaneswar,27,30,9,Clear ,583,640,5,5,5,20,752.3595506,20,752.34143
22.308155,-74.005974,Linseed,Bikaner,17,22,33,Sunny,1043,1746,5,5,1,21,821.2822208,21,821.1648
22.308155,-122.419418,Garlic,Bilaspur,14,77,14,Partly cloudy,1990,2608,1,1,5,22,453.258427,22,452.85104
22.308155,-118.243683,Cherry,Bokaro,18,54,10,Sunny,1006,974,1,5,3,23,825.8426966,23,826.92615
34.052235,70.800705,Cocoa,Chandigarh,27,30,9,Clear ,587,736,1,1,5,24,455.7303371,24,455.77847
34.052235,-122.419418,Black Gram,Chennai,14,77,14,Partly cloudy,868,1126,5,5,1,25,675.7303371,25,675.8885
34.052235,139.691711,Jute,Coimbatore,15,55,6,Clear,907,716,1,5,5,26,829.6950241,26,829.8305
34.052235,37.617298,Groundnut,Cuttack,1,32,12,Clear,892,1091,1,5,3,27,676.4909248,27,676.1506
34.052235,-118.243683,Jute,Dehradun,18,54,10,Sunny,1402,1892,5,1,1,28,529.2134831,28,529.16833
34.052235,-74.005974,Bottle Gourd,Delhi,17,22,33,Sunny,558,518,5,5,3,29,821.2822208,29,821.72363
34.052235,-0.127758,Papaya,Dhanbad,13,82,7,Clear,1256,1669,1,5,5,30,754.2134831,30,754.5542
34.052235,2.352222,Beans,Dibrugarh,12,100,12,Light Rain,1933,2726,1,1,1,31,379.8617113,31,379.88904
34.052235,13.404954,Quinoa,Durgapur,10,43,22,Clear,721,928,1,1,3,32,377.381534,32,377.3546
34.052235,72.877426,Chili,Faridabad,27,74,8,Haze,2390,3332,5,5,1,33,679.0262172,33,678.847
35.689487,-122.419418,Apple,Firozabad,14,77,14,Partly cloudy,948,1038,1,1,1,34,379.1011236,34,379.49756
35.689487,13.404954,Pineapple,Gandhinagar,10,43,22,Clear,532,551,5,1,5,35,451.5388373,35,451.51852
35.689487,70.800705,Bottle Gourd,Ghaziabad,27,30,9,Clear ,729,705,1,5,3,36,678.2022472,36,678.3818
